股票代码,股票简称,最新价,最新涨跌幅,market_code,code
000008.SZ,神州高铁,2.78,0.724637681,33,000008
000034.SZ,神州数码,36.96,0.489396411,33,000034
000055.SZ,方大集团,4.07,-0.245098039,33,000055
000012.SZ,南玻A,4.6,0,33,000012
000021.SZ,深科技,17.8,1.482326112,33,000021
000065.SZ,北方国际,10.85,0.930232558,33,000065
000070.SZ,ST特信,7.5,2.459016393,33,000070
000060.SZ,中金岭南,4.53,0.221238938,33,000060
000009.SZ,中国宝安,8.89,0.908059024,33,000009
000099.SZ,中信海直,21.33,1.426533524,33,000099
000158.SZ,常山北明,21.71,0.695732839,33,000158
000016.SZ,深康佳A,5.05,-0.394477318,33,000016
000032.SZ,深桑达A,19.65,1.971977167,33,000032
000002.SZ,万科A,6.39,0.62992126,33,000002
000045.SZ,深纺织A,10.95,-1.08401084,33,000045
000088.SZ,盐田港,4.52,-0.220750552,33,000088
000027.SZ,深圳能源,6.4,1.105845182,33,000027
000058.SZ,深赛格,8.15,0,33,000058
000042.SZ,中洲控股,7.18,1.412429379,33,000042
000156.SZ,华数传媒,7.85,-0.254129606,33,000156
000006.SZ,深振业A,6.8,0,33,000006
000159.SZ,国际实业,5.68,-3.891708968,33,000159
000166.SZ,申万宏源,5.04,2.231237323,33,000166
000019.SZ,深粮控股,6.65,0.15060241,33,000019
000039.SZ,中集集团,7.81,-0.382653061,33,000039
000049.SZ,德赛电池,22.66,0.711111111,33,000049
000011.SZ,深物业A,8.51,0.353773585,33,000011
000068.SZ,华控赛格,3.38,-0.588235294,33,000068
000062.SZ,深圳华强,24.91,0.687146322,33,000062
000090.SZ,天健集团,3.52,0.284900285,33,000090
000030.SZ,富奥股份,5.96,1.016949153,33,000030
000420.SZ,吉林化纤,3.85,-0.259067358,33,000420
000428.SZ,华天酒店,3.28,-0.606060606,33,000428
000402.SZ,金融街,2.84,1.428571429,33,000402
000498.SZ,山东路桥,5.9,0.682593857,33,000498
000333.SZ,美的集团,72.97,0.233516484,33,000333
000425.SZ,徐工机械,7.78,0.387096774,33,000425
000400.SZ,许继电气,20.94,0.095602294,33,000400
000507.SZ,珠海港,5.52,-0.540540541,33,000507
000410.SZ,沈阳机床,6.51,0,33,000410
000510.SZ,新金路,4.98,-0.994035785,33,000510
000430.SZ,ST张家界,7.97,-0.623441397,33,000430
000598.SZ,兴蓉环境,7.31,2.094972067,33,000598
000404.SZ,长虹华意,7.05,-0.141643059,33,000404
000518.SZ,*ST四环,2.65,0,33,000518
000534.SZ,万泽股份,13.66,2.092675635,33,000534
000513.SZ,丽珠集团,35.41,-0.393811533,33,000513
000519.SZ,中兵红箭,19.22,10.017172295,33,000519
000538.SZ,云南白药,55.65,0.451263538,33,000538
000541.SZ,佛山照明,6.18,0.162074554,33,000541
000533.SZ,顺钠股份,6.86,-1.578192253,33,000533
