股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250604],个股热度排名[20250604],market_code,code
002177.SZ,御银股份,7.67,10.043041607,578384.0,1,33,002177
002657.SZ,中科金财,26.14,10.016835017,491835.0,2,33,002657
002639.SZ,雪人股份,12.17,5.459272097,452796.5,3,33,002639
601086.SH,国芳集团,14.96,10,353772.5,4,17,601086
600468.SH,百利电气,7.78,0.907911803,298258.0,5,17,600468
603906.SH,龙蟠科技,13.93,10.031595577,281757.0,6,17,603906
002342.SZ,巨力索具,6.37,10.017271157,259974.5,7,33,002342
002427.SZ,尤夫股份,10.59,9.968847352,257207.5,8,33,002427
000826.SZ,启迪环境,2.42,10,238841.0,9,33,000826
603017.SH,中衡设计,11.87,10.009267841,237598.0,10,17,603017
603123.SH,翠微股份,12.89,4.119547658,234586.5,11,17,603123
002345.SZ,潮宏基,17.39,9.993674889,229445.0,12,33,002345
002366.SZ,融发核电,7.04,5.231689088,221404.0,13,33,002366
000989.SZ,九芝堂,10.29,10.053475936,220697.0,14,33,000989
002250.SZ,联化科技,10.88,7.509881423,218462.5,15,33,002250
002471.SZ,中超控股,5.57,0.723327306,216321.5,16,33,002471
300368.SZ,汇金股份,8.63,20.027816412,213775.5,17,33,300368
002537.SZ,海联金汇,8.49,-7.31441048,213740.5,18,33,002537
000533.SZ,顺钠股份,7.12,10.046367852,211765.0,19,33,000533
002298.SZ,中电鑫龙,6.57,10.050251256,211649.5,20,33,002298
002735.SZ,王子新材,17,-3.95480226,210324.0,21,33,002735
600610.SH,中毅达,15.43,7.526132404,201586.0,22,17,600610
003010.SZ,若羽臣,79.21,9.998611304,199997.5,23,33,003010
300003.SZ,乐普医疗,14.11,19.982993197,199353.5,24,33,300003
603900.SH,莱绅通灵,13.04,10.042194093,192021.5,25,17,603900
600644.SH,乐山电力,16.26,6.205094709,189930.0,26,17,600644
002104.SZ,恒宝股份,9.6,-2.040816327,183878.0,27,33,002104
002082.SZ,万邦德,7.58,10.014513788,176960.0,28,33,002082
000565.SZ,渝三峡A,10.58,9.979209979,173383.0,29,33,000565
603056.SH,德邦股份,22.15,-3.190559441,171972.5,30,17,603056
603076.SH,乐惠国际,36.3,10,169699.5,31,17,603076
300651.SZ,金陵体育,24.48,20,169019.5,32,33,300651
600259.SH,广晟有色,52.03,10,165894.0,33,17,600259
605005.SH,合兴股份,24.19,10.004547522,163266.5,34,17,605005
603686.SH,福龙马,15.91,-9.653605906,159916.0,35,17,603686
000903.SZ,云内动力,4.68,-4.098360656,154509.5,36,33,000903
603392.SH,万泰生物,71.24,1.510401824,154341.0,37,17,603392
603300.SH,海南华铁,10.11,4.226804124,151633.5,38,17,603300
300872.SZ,天阳科技,21.08,12.486659552,149449.0,39,33,300872
002055.SZ,得润电子,6.73,9.967320261,147058.0,40,33,002055
605388.SH,均瑶健康,9.81,1.342975207,145990.0,41,17,605388
603879.SH,永悦科技,6.53,9.932659933,145874.0,42,17,603879
002734.SZ,利民股份,18.75,7.020547945,145045.5,43,33,002734
002731.SZ,萃华珠宝,14.2,9.992254067,144971.5,44,33,002731
300945.SZ,曼卡龙,29.37,17.011952191,142771.5,45,33,300945
000566.SZ,海南海药,7.12,5.794947994,141860.0,46,33,000566
002969.SZ,嘉美包装,3.7,10.119047619,139634.0,47,33,002969
002418.SZ,康盛股份,3.82,10.086455331,138999.5,48,33,002418
300204.SZ,舒泰神,30.79,-3.176100629,138520.5,49,33,300204
605006.SH,山东玻纤,7.38,9.98509687,138432.5,50,17,605006
002094.SZ,青岛金王,9.85,-0.303643725,137104.0,51,33,002094
300468.SZ,四方精创,26.91,-1.464664958,136237.5,52,33,300468
603011.SH,合锻智能,18.06,-6.035379813,130713.0,53,17,603011
600110.SH,诺德股份,3.59,10.122699387,130707.0,54,17,600110
002550.SZ,千红制药,9.01,5.503512881,128618.5,55,33,002550
001338.SZ,永顺泰,13.08,10.008410429,126071.5,56,33,001338
603333.SH,尚纬股份,9,2.857142857,124544.0,57,17,603333
000695.SZ,滨海能源,15.5,-2.51572327,124491.0,58,33,000695
002190.SZ,成飞集成,35.97,2.100482543,122482.0,59,33,002190
603697.SH,有友食品,15.93,10.013812155,120466.5,60,17,603697
605599.SH,菜百股份,18.71,9.994121105,117547.5,61,17,605599
300741.SZ,华宝股份,20.56,20.023350846,117264.5,62,33,300741
603042.SH,华脉科技,15.43,9.978617249,116884.5,63,17,603042
002907.SZ,华森制药,20.07,-8.230452675,116799.5,64,33,002907
300340.SZ,科恒股份,11.75,20.020429009,112197.5,65,33,300340
002580.SZ,圣阳股份,15.68,3.841059603,111579.5,66,33,002580
605099.SH,共创草坪,30.77,10.010725778,111080.0,67,17,605099
603093.SH,南华期货,15.74,9.99301188,110543.0,68,17,603093
603390.SH,通达电气,15.22,-8.698260348,108878.5,69,17,603390
002882.SZ,金龙羽,25.74,4.847250509,108453.0,70,33,002882
603711.SH,香飘飘,15.02,10.036630037,108376.0,71,17,603711
002973.SZ,侨银股份,14.63,10,108370.5,72,33,002973
002866.SZ,传艺科技,17.64,9.975062344,108009.0,73,33,002866
601788.SH,光大证券,17.88,6.428571429,103963.0,74,17,601788
002165.SZ,红宝丽,10.18,3.560528993,103045.0,75,33,002165
002951.SZ,金时科技,10.2,10.03236246,100818.5,76,33,002951
000888.SZ,峨眉山A,15.18,10,97892.5,77,33,000888
002741.SZ,光华科技,16.47,10.02004008,96948.5,78,33,002741
603023.SH,威帝股份,4.05,10.054347826,94236.0,79,17,603023
603823.SH,百合花,11.44,10,93550.0,80,17,603823
301335.SZ,天元宠物,41.9,16.810705325,93000.5,81,33,301335
603518.SH,锦泓集团,12.21,6.730769231,92061.5,82,17,603518
002229.SZ,鸿博股份,16.65,0.665054414,91088.0,83,33,002229
600794.SH,保税科技,4.62,-5.133470226,89734.5,84,17,600794
002465.SZ,海格通信,13.4,-2.189781022,89509.5,85,33,002465
300740.SZ,水羊股份,19.92,11.97301855,88191.0,86,33,300740
000546.SZ,金圆股份,4.9,10.112359551,87901.5,87,33,000546
603256.SH,宏和科技,12.46,9.973521624,86599.0,88,17,603256
000889.SZ,中嘉博创,2.97,10,86301.0,89,33,000889
002467.SZ,二六三,6.08,2.876480541,85756.5,90,33,002467
002365.SZ,永安药业,19.59,-4.485616772,84897.5,91,33,002365
603099.SH,长白山,36.49,10.009044317,84887.5,92,17,603099
002194.SZ,武汉凡谷,15.69,-2.848297214,83553.0,93,33,002194
002612.SZ,朗姿股份,19.46,5.991285403,82902.0,94,33,002612
603577.SH,汇金通,11.18,-4.444444444,82132.5,95,17,603577
002278.SZ,神开股份,9.66,3.64806867,82100.5,96,33,002278
002633.SZ,申科股份,15.28,-10.011778563,81651.5,97,33,002633
000953.SZ,河化股份,8.74,-3.53200883,81649.5,98,33,000953
002891.SZ,中宠股份,72.24,9.173341393,80830.5,99,33,002891
002191.SZ,劲嘉股份,4.21,9.921671018,80654.0,100,33,002191
002878.SZ,元隆雅图,16.87,-7.713347921,79030.0,101,33,002878
002900.SZ,哈三联,16.47,-0.362976407,78373.5,102,33,002900
002463.SZ,沪电股份,33.19,6.823302221,77685.5,103,33,002463
601008.SH,连云港,7.19,0.139275766,77524.5,104,17,601008
002615.SZ,哈尔斯,8.01,10.027472527,76779.5,105,33,002615
300502.SZ,新易盛,92.55,7.167670218,73953.0,106,33,300502
600676.SH,交运股份,4.96,-9.98185118,73749.5,107,17,600676
002952.SZ,亚世光电,22.14,9.98509687,73257.5,108,33,002952
600684.SH,珠江股份,4.09,9.946236559,73253.5,109,17,600684
600834.SH,申通地铁,8.61,1.294117647,72483.0,110,17,600834
002826.SZ,易明医药,13.4,10.016420361,69972.5,111,33,002826
603535.SH,嘉诚国际,11.52,10.028653295,69951.5,112,17,603535
002929.SZ,润建股份,48.76,6.323593546,68292.0,113,33,002929
002617.SZ,露笑科技,8.05,3.470437018,68083.5,114,33,002617
002431.SZ,棕榈股份,3,-3.846153846,67946.0,115,33,002431
605136.SH,丽人丽妆,12.86,-1.832061069,67928.5,116,17,605136
002574.SZ,明牌珠宝,7.54,7.560627675,66956.5,117,33,002574
002526.SZ,山东矿机,3.99,0.757575758,66758.5,118,33,002526
603305.SH,旭升集团,13.54,9.991876523,66305.0,119,17,603305
300546.SZ,雄帝科技,24.92,-1.032565528,66133.0,120,33,300546
002347.SZ,泰尔股份,8.43,-1.518691589,65551.0,121,33,002347
601700.SH,风范股份,4.77,9.907834101,64896.0,122,17,601700
002292.SZ,奥飞娱乐,10.23,2.095808383,64666.5,123,33,002292
603226.SH,菲林格尔,9.04,9.9756691,64449.5,124,17,603226
