股票代码,股票简称,个股热度[20250708],个股热度排名[20250708],market_code,code,最新价,最新涨跌幅
600930.SH,华电新能,761565.0,1,17,600930,,
600744.SH,华银电力,524505.5,2,17,600744,7.37,10
002104.SZ,恒宝股份,516335.0,3,33,002104,21.27,2.555448409
002263.SZ,大东南,449003.5,4,33,002263,4.57,10.120481928
601138.SH,工业富联,388218.0,5,17,601138,26.38,10.008340284
002636.SZ,金安国纪,385491.5,6,33,002636,13.72,10.024057739
002721.SZ,金一文化,336913.0,7,33,002721,4.75,7.466063348
600126.SH,杭钢股份,332155.0,8,17,600126,9.58,9.988518944
601519.SH,大智慧,328593.5,9,17,601519,12.95,10.02548853
000617.SZ,中油资本,306413.5,10,33,000617,8.65,10.050890585
002623.SZ,亚玛顿,300189.0,11,33,002623,24.62,10.00893655
603256.SH,宏和科技,291171.0,12,17,603256,22.28,10.024691358
002579.SZ,中京电子,253611.5,13,33,002579,15.53,4.228187919
600698.SH,湖南天雁,247341.0,14,17,600698,11.7,6.267029973
603936.SH,博敏电子,233629.0,15,17,603936,10.69,9.979423868
605277.SH,新亚电子,230554.5,16,17,605277,22.5,10.024449878
600475.SH,华光环能,229057.0,17,17,600475,15.21,9.978308026
600438.SH,通威股份,228145.5,18,17,600438,20.02,10
301526.SZ,国际复材,218929.0,19,33,301526,5.04,20
002201.SZ,九鼎新材,216411.5,20,33,002201,9.09,10.04842615
301388.SZ,欣灵电气,211546.0,21,33,301388,38.09,20.006301197
002366.SZ,融发核电,209535.0,22,33,002366,9.52,-3.153611394
601003.SH,柳钢股份,205406.5,23,17,601003,5.23,10.105263158
600537.SH,亿晶光电,203567.5,24,17,600537,3.61,10.06097561
300476.SZ,胜宏科技,195353.5,25,33,300476,157.2,8.992581294
002987.SZ,京北方,195138.5,26,33,002987,25.18,-1.755754975
002342.SZ,巨力索具,194050.0,27,33,002342,7.31,6.095791001
301176.SZ,逸豪新材,192788.5,28,33,301176,37.93,19.993672888
600571.SH,信雅达,190457.0,29,17,600571,19.79,-2.942618931
000823.SZ,超声电子,189763.5,30,33,000823,13.08,10.008410429
603228.SH,景旺电子,178329.0,31,17,603228,50.55,10.010881393
688729.SH,屹唐股份,170891.5,32,17,688729,23.2,174.556213018
601208.SH,东材科技,170843.5,33,17,601208,11.97,10.018382353
605500.SH,森林包装,166251.0,34,17,605500,10.97,10.030090271
000514.SZ,渝开发,157885.0,35,33,000514,5.67,10.097087379
600481.SH,双良节能,156396.0,36,17,600481,5.87,9.925093633
605162.SH,新中港,155502.5,37,17,605162,10.33,10.010649627
002130.SZ,沃尔核材,154047.5,38,33,002130,25.53,8.086367485
603716.SH,塞力医疗,152155.5,39,17,603716,21.19,-5.947625388
000920.SZ,沃顿科技,148788.5,40,33,000920,12.56,9.982486865
603002.SH,宏昌电子,146395.5,41,17,603002,7.59,10
002055.SZ,得润电子,145291.0,42,33,002055,7.68,10.028653295
601012.SH,隆基绿能,144750.0,43,17,601012,16.47,6.464124111
601606.SH,长城军工,143363.5,44,17,601606,28.77,0.278842802
002218.SZ,拓日新能,142659.5,45,33,002218,3.72,10.059171598
002951.SZ,金时科技,140183.0,46,33,002951,15.73,10
601162.SH,天风证券,139006.5,47,17,601162,4.99,2.674897119
002562.SZ,兄弟科技,138417.5,48,33,002562,5.85,-1.845637584
600513.SH,联环药业,135764.5,49,17,600513,13.08,10.008410429
000601.SZ,韶能股份,134489.0,50,33,000601,6.28,2.614379085
300591.SZ,万里马,132503.0,51,33,300591,12.7,8.269394714
002094.SZ,青岛金王,131996.0,52,33,002094,9.59,3.675675676
600192.SH,长城电工,130978.0,53,17,600192,11.66,1.391304348
300274.SZ,阳光电源,127861.0,54,33,300274,73.77,9.451038576
301658.SZ,首航新能,125683.5,55,33,301658,36,20
002463.SZ,沪电股份,123543.5,56,33,002463,49.07,7.139737991
600927.SH,永安期货,123308.0,57,17,600927,17.18,9.987195903
300872.SZ,天阳科技,122473.0,58,33,300872,27.05,14.570097416
600110.SH,诺德股份,121910.0,59,17,600110,6.23,2.805280528
600095.SH,湘财股份,121032.5,60,17,600095,11.3,7.619047619
600962.SH,国投中鲁,115241.5,61,17,600962,16.25,10.020311442
603601.SH,再升科技,114863.0,62,17,603601,5.51,5.75815739
001298.SZ,好上好,114329.0,63,33,001298,32.81,-0.635978195
300468.SZ,四方精创,114223.5,64,33,300468,49.2,1.068200493
605006.SH,山东玻纤,113889.0,65,17,605006,8.59,9.987195903
301123.SZ,奕东电子,113144.0,66,33,301123,27.25,19.991193307
600589.SH,大位科技,109934.0,67,17,600589,8.57,1.061320755
002552.SZ,宝鼎科技,109423.0,68,33,002552,16.3,9.986504723
000796.SZ,凯撒旅业,108386.0,69,33,000796,4.44,9.900990099
002900.SZ,哈三联,107830.5,70,33,002900,16.39,10
002017.SZ,东信和平,106180.0,71,33,002017,17.73,4.294117647
002520.SZ,日发精机,106115.5,72,33,002520,6.74,9.951060359
002299.SZ,圣农发展,103824.5,73,33,002299,15.11,0.465425532
300059.SZ,东方财富,103611.5,74,33,300059,23.15,1.758241758
003040.SZ,楚天龙,103587.0,75,33,003040,24.37,3.70212766
002537.SZ,海联金汇,103173.0,76,33,002537,11.21,0.358102059
603676.SH,卫信康,101777.0,77,17,603676,14.06,10.015649452
002229.SZ,鸿博股份,100423.5,78,33,002229,18.18,4.542840713
300663.SZ,科蓝软件,99158.0,79,33,300663,21.38,9.8663926
002365.SZ,永安药业,98222.5,80,33,002365,28.8,-5.882352941
001269.SZ,欧晶科技,98172.5,81,33,001269,29.35,10.007496252
600644.SH,乐山电力,97842.0,82,17,600644,16.39,-2.729970326
600545.SH,卓郎智能,97244.5,83,17,600545,2.5,10.13215859
000607.SZ,华媒控股,96974.0,84,33,000607,4.95,10
002015.SZ,协鑫能科,94473.0,85,33,002015,14.1,-2.015288395
300502.SZ,新易盛,94282.0,86,33,300502,134.98,6.711993043
603803.SH,瑞斯康达,94149.0,87,17,603803,8.6,-9.947643979
603300.SH,海南华铁,93871.5,88,17,603300,10.93,2.532833021
003003.SZ,天元股份,93782.0,89,33,003003,13.95,10.015772871
600876.SH,凯盛新能,92018.0,90,17,600876,13.1,9.991603694
300308.SZ,中际旭创,89899.5,91,33,300308,144.88,7.199408065
605122.SH,四方新材,89894.0,92,17,605122,14.26,10.030864198
000530.SZ,冰山冷热,88447.5,93,33,000530,7.25,3.129445235
002208.SZ,合肥城建,86805.0,94,33,002208,7.45,10.044313146
300394.SZ,天孚通信,86800.0,95,33,300394,82.33,12.672779526
301217.SZ,铜冠铜箔,84215.0,96,33,301217,16.88,12.909698997
001389.SZ,广合科技,82056.0,97,33,001389,65.19,10.006749916
300821.SZ,东岳硅材,81954.5,98,33,300821,10.04,10.939226519
002235.SZ,安妮股份,80684.5,99,33,002235,9.7,-0.512820513
002865.SZ,钧达股份,78761.0,100,33,002865,42.69,9.997423344
300505.SZ,川金诺,78237.5,101,33,300505,20.62,13.358988455
002581.SZ,ST未名,78143.5,102,33,002581,10.47,-4.99092559
000655.SZ,金岭矿业,78115.5,103,33,000655,8.07,9.945504087
601133.SH,柏诚股份,76712.0,104,17,601133,13.39,10.024650781
002475.SZ,立讯精密,76653.0,105,33,002475,35.36,1.755395683
002384.SZ,东山精密,76644.5,106,33,002384,43.45,7.390014829
600601.SH,方正科技,76604.0,107,17,600601,5.78,3.584229391
002295.SZ,精艺股份,76516.5,108,33,002295,10.04,9.967141292
000977.SZ,浪潮信息,76422.0,109,33,000977,51.88,4.365318849
603185.SH,弘元绿能,75881.5,110,17,603185,16.39,10
002093.SZ,国脉科技,75265.0,111,33,002093,13.66,-2.219040802
603327.SH,福蓉科技,75099.0,112,17,603327,10.04,9.967141292
300204.SZ,舒泰神,74722.0,113,33,300204,40.63,-7.910244787
001359.SZ,平安电工,74641.0,114,33,001359,40.41,9.989112684
002261.SZ,拓维信息,74474.0,115,33,002261,30.37,2.118359112
002080.SZ,中材科技,73190.5,116,33,002080,24.41,6.640454347
002549.SZ,凯美特气,73020.0,117,33,002549,11.81,1.986183074
603726.SH,朗迪集团,72581.5,118,17,603726,18.7,10
000037.SZ,深南电A,72239.5,119,33,000037,10.53,-0.284090909
002558.SZ,巨人网络,71911.0,120,33,002558,25.85,6.029532404
300465.SZ,高伟达,71764.0,121,33,300465,17.72,8.114704088
603316.SH,诚邦股份,70997.0,122,17,603316,10.04,-4.015296367
002882.SZ,金龙羽,70299.0,123,33,002882,35.3,-1.726057906
600250.SH,南京商旅,70036.5,124,17,600250,13.41,-5.496828753
001236.SZ,弘业期货,69514.0,125,33,001236,14.41,1.193820225
000670.SZ,盈方微,68709.0,126,33,000670,7.91,0
300368.SZ,汇金股份,68661.0,127,33,300368,12.76,8.044030483
