股票代码,股票简称,最新涨跌幅,收盘价:前复权[20250716],开盘价:前复权[20250716],最高价:前复权[20250716],最低价:前复权[20250716],market_code,code,最新价,收盘价:前复权[+20250716]
600519.SH,贵州茅台,0.002126152,1411.03,1410.01,1417.49,1409.95,17,600519,,
688256.SH,寒武纪,4.89784849,580.19,548.09,593.1,548.09,17,688256,,
832982.BJ,锦波生物,2.951428571,360.33,348.25,363.98,346.7,151,832982,,
002594.SZ,比亚迪,0.207398236,323.72,323.06,325.91,323.06,33,002594,,
002371.SZ,北方华创,-0.760856118,320.86,322.5,325.36,320.6,33,002371,,
603444.SH,吉比特,-0.73819524,311.96,314.28,317.38,308.14,17,603444,,
688506.SH,百利天恒,-1.050505051,293.88,294.98,301.98,291,17,688506,,
688617.SH,惠泰医疗,-0.784593438,292.11,293,297,289.02,17,688617,,
605499.SH,东鹏饮料,-1.00118785,291.7,294,296.36,291.44,17,605499,,
688111.SH,金山办公,-0.47829938,280.9,284.9,289,279.89,17,688111,,
688502.SH,茂莱光学,-0.618696803,277.89,279,281.59,275.23,17,688502,,
300033.SZ,同花顺,-0.20683649,275.01,275.44,278.8,273.62,33,300033,,
688027.SH,国盾量子,1.028929317,271,268.13,272.44,266,17,688027,,
300750.SZ,宁德时代,-1.251167134,264.4,268.5,268.7,263.04,33,300750,,
688235.SH,百济神州,-0.563613759,239.94,237.8,246.28,237.79,17,688235,,
688608.SH,恒玄科技,0.633326054,230.4,229.13,237.3,226.01,17,688608,,
603129.SH,春风动力,-3.437866846,230.32,240.2,241.88,230.31,17,603129,,
688692.SH,达梦数据,-1.165831819,222.96,224,227.88,220.99,17,688692,,
300760.SZ,迈瑞医疗,-0.190644471,214.65,214.86,216.29,214,33,300760,,
688498.SH,源杰科技,-0.364462536,210.5,208.33,221.57,205.97,17,688498,,
300779.SZ,惠城环保,-7.204585538,210.46,229.3,229.48,207.98,33,300779,,
688279.SH,峰岹科技,5.805263158,201.03,190,203.78,189.8,17,688279,,
600436.SH,片仔癀,0.172588832,197.34,196.95,197.57,196.66,17,600436,,
688068.SH,热景生物,0.788511749,193.01,188.8,193.5,183.51,17,688068,,
688012.SH,中微公司,-0.938993221,178.29,179.98,182,177.77,17,688012,,
600809.SH,山西汾酒,0.688033943,175.61,174.4,177.75,174.03,17,600809,,
300896.SZ,爱美客,0.972222222,174.48,172.8,177.63,172.3,33,300896,,
300308.SZ,中际旭创,-2.316801098,170.76,179.8,181.97,169.67,33,300308,,
300502.SZ,新易盛,8.097784568,169.8,161.71,179.28,161,33,300502,,
688615.SH,合合信息,-1.543264417,167.15,168.01,175.99,166.18,17,688615,,
688775.SH,影石创新,-0.52443385,166.92,167,169.51,165.25,17,688775,,
301630.SZ,同宇新材,-6.433493543,161.58,166.66,175.89,161.22,33,301630,,
688169.SH,石头科技,-1.514966402,161.22,163.69,165.8,160.7,17,688169,,
300757.SZ,罗博特科,3.720990535,160,152.5,168,151.29,33,300757,,
688052.SH,纳芯微,0.428616451,159.33,159.2,163.85,157.66,17,688052,,
688072.SH,拓荆科技,0.082236842,158.21,158.08,161.98,157.81,17,688072,,
300476.SZ,胜宏科技,-5.504083872,155.03,162.29,163.29,154.88,33,300476,,
688018.SH,乐鑫科技,-2.024035421,154.9,158.3,158.8,154.5,17,688018,,
300972.SZ,万辰集团,-1.977311617,154.67,157.29,158.97,148.29,33,300972,,
301590.SZ,优优绿能,0.8091354,154.49,152.21,155.55,152.21,33,301590,,
603893.SH,瑞芯微,-0.825327229,153.81,156.1,157.5,153.5,17,603893,,
301629.SZ,矽电股份,0.552375882,151.09,150,152.28,148.58,33,301629,,
839493.BJ,并行科技,-1.897483199,148.9,154,157.75,148.8,151,839493,,
301589.SZ,诺瓦星云,-0.888443554,148.37,149.1,150.61,148,33,301589,,
688019.SH,安集科技,0.456901255,147.31,146.58,148.8,146.28,17,688019,,
301345.SZ,涛涛车业,-1.193989804,147.3,150.02,153.79,146.5,33,301345,,
301592.SZ,六九一二,2.012940331,141.9,139.1,143.9,138.6,33,301592,,
300870.SZ,欧陆通,0.042768551,140.35,140.25,147.88,138.66,33,300870,,
688041.SH,海光信息,0.62911485,137.56,136.7,139.15,136.5,17,688041,,
000596.SZ,古井贡酒,1.28650647,136.99,135.1,137.15,135.08,33,000596,,
688656.SH,浩欧博,-11.980707395,136.87,150,150.06,125,17,688656,,
688200.SH,华峰测控,0.276098799,134.38,133.7,136.43,133.63,17,688200,,
688047.SH,龙芯中科,0.586845515,131.98,131.6,132.89,130.11,17,688047,,
688536.SH,思瑞浦,-1.290566038,130.79,131.37,136.5,130.1,17,688536,,
688188.SH,柏楚电子,-0.443968157,130.06,131.04,131.39,129.55,17,688188,,
601127.SH,赛力斯,-0.799262219,129.08,130.95,130.95,129,17,601127,,
920002.BJ,万达轴承,0.321291435,128.02,128.02,132.88,125.01,151,920002,,
688266.SH,泽璟制药,-2.081727062,127,130,130.3,125.7,17,688266,,
688017.SH,绿的谐波,1.599678457,126.39,124.5,129.2,123.74,17,688017,,
688271.SH,联影医疗,0.966962127,125.3,124.15,125.6,123.36,17,688271,,
000858.SZ,五粮液,0.224,125.28,124.6,125.88,124.6,33,000858,,
002916.SZ,深南电路,-6.388299485,123.53,131,131.5,123,33,002916,,
300866.SZ,安克创新,-0.931502449,123.37,124.55,125.98,122.1,33,300866,,
301392.SZ,汇成真空,1.232235275,123.23,124.97,124.98,120.8,33,301392,,
